year,forecast_years,n,bad_rate,score_psi_vs_year5_train
1,5,7027,0.03856553294435748,0.03785772816414833
2,4,10173,0.03931976801336872,0.03620173690428881
3,3,10503,0.04712939160239932,0.03479554448778752
4,2,9792,0.052593954248366014,0.03159741401376876
