feature,description,iv,train_auc,valid_auc,auc_gap,n_bins
A27,Operating profit / financial expenses,2.1125522550768587,0.8429680955900468,0.8259478935698448,0.017020202020202047,6
A39,Profit on sales / sales,1.365775506004096,0.7798423256959842,0.7972062084257205,-0.017363882729736324,4
A46,(Current assets - inventory) / short-term liabilities,0.9547287228751113,0.7401293422025129,0.7780764966740576,-0.03794715447154473,6
A25,(Equity - share capital) / total assets,1.0314461312417853,0.762609632914511,0.7610532150776054,0.0015564178369056325,6
A24,Gross profit over three years / total assets,1.0147416906278843,0.763009977827051,0.7561252771618625,0.006884700665188537,6
A55,Working capital,0.9728917591728371,0.7482187730968219,0.7435698447893571,0.0046489283074648835,6
A38,Constant capital / total assets,0.8099893269107354,0.7240206947524022,0.7407926829268292,-0.016771988174427044,6
