model,sample,roc_auc,average_precision,ks,brier,log_loss
Final 7-variable model,train,0.8919820152746982,0.4057854972273973,0.6246784922394678,0.049825514849728025,0.17566417181213045
Final 7-variable model,validation,0.8945787139689578,0.4110971169042916,0.6569844789356984,0.05286989845203986,0.1823067961373023
Final 7-variable model,test,0.8925277161862528,0.4408324556348943,0.7009312638580931,0.049171952344500246,0.17266260847199283
LightGBM,train,0.9744912540034492,0.8228105617611507,0.838470066518847,0.028011097654481714,0.10268756607297704
LightGBM,validation,0.905,0.5819914290777048,0.6326164079822616,0.0415223374768315,0.1546465617892417
LightGBM,test,0.9185365853658537,0.6344192176931002,0.7154101995565411,0.03929571674344322,0.14388184155411274
