model,sample,roc_auc,average_precision,ks,brier,log_loss,forecast_years,n,bad_rate
WOE logistic,year=1,0.8088163807925824,0.12088033573030679,0.4965196987671475,0.03917237362533048,0.14982039816219933,5,7027,0.03856553294435748
LightGBM,year=1,0.8837419901730101,0.38846443156070204,0.6112248999932273,0.030622679717915505,0.11793411186618656,5,7027,0.03856553294435748
WOE logistic,year=2,0.756907295610355,0.09145738735686179,0.41140565844674104,0.04844723799043261,0.1774514998474203,4,10173,0.03931976801336872
LightGBM,year=2,0.8329946024762099,0.23576401698019098,0.5131065179576384,0.04106737375036832,0.15125146787501964,4,10173,0.03931976801336872
WOE logistic,year=3,0.763376268682024,0.116402152407069,0.42077247293074627,0.05534206075527086,0.19810259293645208,3,10503,0.04712939160239932
LightGBM,year=3,0.8316150110214859,0.2780849465701544,0.5050523217789404,0.04578580663094036,0.16728981759019299,3,10503,0.04712939160239932
WOE logistic,year=4,0.7934388313932254,0.14975903362452897,0.4622449716440387,0.05746928494541921,0.2015127429360559,2,9792,0.052593954248366014
LightGBM,year=4,0.8475473846479078,0.3291360956439147,0.5188848922745573,0.04714550987632446,0.17097215887086514,2,9792,0.052593954248366014
